HUD frame time nsec:,495738000

Range Index,Elapsed Time, First Event,Last Event
0,14816,1,1
1,177280,61,61
2,127264,91,91
3,147808,115,115
4,149056,119,119
5,736,132,132
6,736,143,143
7,864,154,154
8,704,165,165
9,2560,176,176
10,2432,187,187
11,736,198,198
12,736,209,209
13,704,220,220
14,704,231,231
15,704,242,242
16,896,253,253
17,704,264,264
18,736,275,275
19,736,286,286
20,736,297,297
21,704,308,308
22,704,319,319
23,736,330,330
24,736,341,341
25,768,352,352
26,736,363,363
27,736,374,374
28,736,385,385
29,736,396,396
30,736,407,407
31,704,418,418
32,736,429,429
33,736,440,440
34,704,451,451
35,704,462,462
36,51936,473,473
37,18016,484,484
38,1504,495,495
39,4288,506,506
40,10688,517,517
41,23488,528,528
42,4224,539,539
43,768,550,550
44,736,561,561
45,736,572,572
46,768,583,583
47,736,594,594
48,736,605,605
49,736,616,616
50,736,627,627
51,736,638,638
52,704,649,649
53,768,660,660
54,736,671,671
55,736,682,682
56,736,693,693
57,704,704,704
58,736,715,715
59,736,726,726
60,768,737,737
61,768,748,748
62,768,759,759
63,736,770,770
64,800,781,781
65,736,792,792
66,736,803,803
67,704,814,814
68,736,825,825
69,704,836,836
70,704,847,847
71,736,858,858
72,672,869,869
73,704,880,880
74,704,891,891
75,736,902,902
76,704,913,913
77,704,924,924
78,1600,935,935
79,4544,946,946
80,4800,957,957
81,4576,968,968
82,4512,979,979
83,4608,990,990
84,4736,1001,1001
85,4352,1012,1012
86,4704,1023,1023
87,4576,1034,1034
88,4448,1045,1045
89,4736,1056,1056
90,4608,1067,1067
91,4544,1078,1078
92,4640,1089,1089
93,4672,1100,1100
94,4640,1111,1111
95,4672,1122,1122
96,4416,1133,1133
97,4512,1144,1144
98,4928,1155,1155
99,4640,1166,1166
100,4640,1177,1177
101,4480,1188,1188
102,4512,1199,1199
103,4448,1210,1210
104,4736,1221,1221
105,4416,1232,1232
106,4672,1243,1243
107,4608,1254,1254
108,4448,1265,1265
109,4864,1276,1276
110,4608,1287,1287
111,4480,1298,1298
112,4672,1309,1309
113,4416,1320,1320
114,4800,1331,1331
